09-14-2026 18:16:48 RAM 4321/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [34%@1113,6%@1113,0%@1113,33%@1113,12%@729,62%@729] GR3D_FREQ 10% cpu@50.5C soc2@48.593C soc0@49.218C gpu@49.468C tj@50.5C soc1@49.718C VDD_IN 6080mW/5019mW VDD_CPU_GPU_CV 1507mW/872mW VDD_SOC 1589mW/1484mW
09-14-2026 18:16:48 RAM 4322/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [16%@1728,13%@1728,0%@1728,0%@1728,30%@1728,61%@1728] GR3D_FREQ 10% cpu@50.468C soc2@48.593C soc0@49.156C gpu@49.75C tj@50.562C soc1@49.718C VDD_IN 5882mW/5044mW VDD_CPU_GPU_CV 1349mW/885mW VDD_SOC 1589mW/1487mW
09-14-2026 18:16:49 RAM 4664/7620MB (lfb 14x1MB) SWAP 779/8192MB (cached 203MB) CPU [7%@1728,10%@1728,13%@1728,1%@1728,0%@1651,81%@1651] GR3D_FREQ 25% cpu@50.468C soc2@48.562C soc0@49.218C gpu@49.562C tj@50.468C soc1@49.906C VDD_IN 5762mW/5064mW VDD_CPU_GPU_CV 1269mW/896mW VDD_SOC 1589mW/1490mW
09-14-2026 18:16:49 RAM 4704/7620MB (lfb 14x1MB) SWAP 779/8192MB (cached 203MB) CPU [9%@1728,0%@1728,24%@1728,16%@1728,12%@1728,59%@1728] GR3D_FREQ 0% cpu@50.5C soc2@48.531C soc0@49.218C gpu@49.781C tj@50.5C soc1@49.843C VDD_IN 6001mW/5089mW VDD_CPU_GPU_CV 1349mW/908mW VDD_SOC 1629mW/1493mW
09-14-2026 18:16:50 RAM 6096/7620MB (lfb 1x2MB) SWAP 779/8192MB (cached 203MB) CPU [12%@1728,0%@1728,0%@1728,1%@1728,43%@1728,91%@1728] GR3D_FREQ 0% cpu@50.5C soc2@48.75C soc0@49.093C gpu@49.468C tj@50.5C soc1@49.812C VDD_IN 6239mW/5120mW VDD_CPU_GPU_CV 1507mW/924mW VDD_SOC 1626mW/1497mW
09-14-2026 18:16:50 RAM 6374/7620MB (lfb 3x1MB) SWAP 779/8192MB (cached 203MB) CPU [22%@1036,16%@1036,31%@1036,19%@1036,33%@1651,56%@1651] GR3D_FREQ 0% cpu@51.187C soc2@48.718C soc0@49.156C gpu@49.75C tj@51.187C soc1@49.718C VDD_IN 6438mW/5153mW VDD_CPU_GPU_CV 1822mW/947mW VDD_SOC 1587mW/1499mW
09-14-2026 18:16:51 RAM 6378/7620MB (lfb 8x2MB) SWAP 779/8192MB (cached 203MB) CPU [4%@729,5%@729,19%@729,2%@729,2%@1728,98%@1728] GR3D_FREQ 0% cpu@50.687C soc2@48.531C soc0@49.25C gpu@49.531C tj@50.687C soc1@49.781C VDD_IN 5842mW/5171mW VDD_CPU_GPU_CV 1587mW/963mW VDD_SOC 1510mW/1500mW
09-14-2026 18:16:52 RAM 6381/7620MB (lfb 8x2MB) SWAP 779/8192MB (cached 203MB) CPU [1%@729,4%@729,5%@729,5%@729,3%@1728,100%@1728] GR3D_FREQ 0% cpu@50.593C soc2@48.625C soc0@49.312C gpu@49.812C tj@50.531C soc1@49.718C VDD_IN 5603mW/5181mW VDD_CPU_GPU_CV 1507mW/976mW VDD_SOC 1430mW/1498mW
09-14-2026 18:16:52 RAM 6381/7620MB (lfb 8x2MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,3%@729,2%@729,4%@729,5%@1728,100%@1728] GR3D_FREQ 0% cpu@50.562C soc2@48.593C soc0@49.281C gpu@49.468C tj@50.625C soc1@50C VDD_IN 5484mW/5188mW VDD_CPU_GPU_CV 1428mW/987mW VDD_SOC 1430mW/1496mW
09-14-2026 18:16:53 RAM 6381/7620MB (lfb 8x2MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,4%@729,4%@729,7%@729,2%@1728,100%@1728] GR3D_FREQ 0% cpu@50.468C soc2@48.531C soc0@49.281C gpu@49.75C tj@50.468C soc1@50C VDD_IN 5444mW/5194mW VDD_CPU_GPU_CV 1428mW/997mW VDD_SOC 1430mW/1495mW
09-14-2026 18:16:53 RAM 6313/7620MB (lfb 8x2MB) SWAP 779/8192MB (cached 203MB) CPU [2%@729,2%@729,1%@729,2%@729,0%@1651,96%@1651] GR3D_FREQ 63% cpu@50.531C soc2@48.562C soc0@49.187C gpu@49.718C tj@50.531C soc1@49.906C VDD_IN 5524mW/5202mW VDD_CPU_GPU_CV 1428mW/1007mW VDD_SOC 1470mW/1494mW
09-14-2026 18:16:54 RAM 6536/7620MB (lfb 4x512kB) SWAP 779/8192MB (cached 203MB) CPU [1%@1728,2%@1728,0%@1728,0%@1728,88%@1728,11%@1728] GR3D_FREQ 36% cpu@50.593C soc2@48.531C soc0@49.25C gpu@49.906C tj@50.593C soc1@49.843C VDD_IN 5842mW/5216mW VDD_CPU_GPU_CV 1468mW/1017mW VDD_SOC 1550mW/1495mW
09-14-2026 18:16:54 RAM 6588/7620MB (lfb 3x512kB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,20%@729,19%@729] GR3D_FREQ 99% cpu@50.562C soc2@48.906C soc0@49.531C gpu@50.75C tj@50.75C soc1@49.781C VDD_IN 7618mW/5268mW VDD_CPU_GPU_CV 2610mW/1052mW VDD_SOC 1782mW/1502mW
09-14-2026 18:16:55 RAM 6590/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,0%@729,18%@729,0%@729,0%@729,14%@729] GR3D_FREQ 99% cpu@50.968C soc2@49.156C soc0@49.468C gpu@51.312C tj@51.312C soc1@49.812C VDD_IN 10306mW/5375mW VDD_CPU_GPU_CV 4526mW/1126mW VDD_SOC 2092mW/1514mW
09-14-2026 18:16:55 RAM 6595/7620MB (lfb 1x4MB) SWAP 779/8192MB (cached 203MB) CPU [1%@1728,0%@1728,0%@1728,2%@1728,2%@729,11%@729] GR3D_FREQ 99% cpu@50.906C soc2@49.25C soc0@49.625C gpu@51.812C tj@51.812C soc1@49.937C VDD_IN 11156mW/5496mW VDD_CPU_GPU_CV 5226mW/1211mW VDD_SOC 2128mW/1527mW
