09-12-2026 20:03:48 RAM 7379/7620MB (lfb 2115x32kB) SWAP 2087/12002MB (cached 6MB) CPU [4%@1728,4%@1728,56%@1728,94%@1728,0%@1728,90%@1728] GR3D_FREQ 0% cpu@53.593C soc2@51.312C soc0@51.656C gpu@51.875C tj@53.593C soc1@52.343C VDD_IN 6705mW/6339mW VDD_CPU_GPU_CV 2139mW/1663mW VDD_SOC 1587mW/1617mW
09-12-2026 20:03:49 RAM 7390/7620MB (lfb 1x64kB) SWAP 2280/12002MB (cached 6MB) CPU [3%@1728,3%@1728,81%@1728,8%@1728,0%@1728,94%@1728] GR3D_FREQ 0% cpu@53.375C soc2@51.218C soc0@51.593C gpu@51.968C tj@53.375C soc1@52.218C VDD_IN 6547mW/6346mW VDD_CPU_GPU_CV 1980mW/1675mW VDD_SOC 1547mW/1614mW
09-12-2026 20:03:49 RAM 7396/7620MB (lfb 2x64kB) SWAP 2424/12002MB (cached 6MB) CPU [0%@1728,1%@1728,64%@1728,0%@1728,61%@1728,14%@1728] GR3D_FREQ 0% cpu@53.531C soc2@51.218C soc0@51.687C gpu@52.187C tj@53.531C soc1@52.281C VDD_IN 7408mW/6384mW VDD_CPU_GPU_CV 2491mW/1704mW VDD_SOC 1703mW/1618mW
09-12-2026 20:03:50 RAM 7382/7620MB (lfb 1x64kB) SWAP 2558/12002MB (cached 5MB) CPU [1%@1728,3%@1728,88%@1728,1%@1728,67%@1728,19%@1728] GR3D_FREQ 0% cpu@53.343C soc2@51.25C soc0@51.718C gpu@52.25C tj@53.343C soc1@52.406C VDD_IN 6666mW/6394mW VDD_CPU_GPU_CV 2060mW/1716mW VDD_SOC 1587mW/1617mW
09-12-2026 20:03:50 RAM 7397/7620MB (lfb 2x64kB) SWAP 2731/12002MB (cached 5MB) CPU [0%@1728,0%@1728,94%@1728,2%@1728,1%@1728,90%@1728] GR3D_FREQ 0% cpu@53.437C soc2@51.281C soc0@51.562C gpu@52.031C tj@53.437C soc1@52.375C VDD_IN 6547mW/6399mW VDD_CPU_GPU_CV 1980mW/1725mW VDD_SOC 1587mW/1616mW
09-12-2026 20:03:51 RAM 7385/7620MB (lfb 30x64kB) SWAP 2877/12002MB (cached 4MB) CPU [2%@1728,0%@1728,78%@1728,0%@1728,0%@1574,93%@1574] GR3D_FREQ 0% cpu@53.687C soc2@51.406C soc0@51.781C gpu@52.25C tj@53.687C soc1@52.406C VDD_IN 7725mW/6442mW VDD_CPU_GPU_CV 2808mW/1760mW VDD_SOC 1703mW/1618mW
09-12-2026 20:03:51 RAM 7356/7620MB (lfb 3x128kB) SWAP 2917/12002MB (cached 4MB) CPU [3%@1728,7%@1728,47%@1728,2%@1728,0%@1728,90%@1728] GR3D_FREQ 0% cpu@53.75C soc2@51.375C soc0@51.843C gpu@52.468C tj@53.75C soc1@52.531C VDD_IN 6507mW/6444mW VDD_CPU_GPU_CV 2060mW/1769mW VDD_SOC 1547mW/1616mW
09-12-2026 20:03:52 RAM 7355/7620MB (lfb 3x128kB) SWAP 2916/12002MB (cached 4MB) CPU [0%@1728,0%@1728,1%@1728,0%@1728,0%@1728,98%@1728] GR3D_FREQ 0% cpu@53.093C soc2@51.218C soc0@51.687C gpu@51.968C tj@53.093C soc1@52.343C VDD_IN 5961mW/6429mW VDD_CPU_GPU_CV 1666mW/1766mW VDD_SOC 1507mW/1613mW
09-12-2026 20:03:52 RAM 7342/7620MB (lfb 9x64kB) SWAP 2932/12002MB (cached 4MB) CPU [7%@1728,8%@1728,41%@1728,33%@1728,2%@1728,90%@1728] GR3D_FREQ 45% cpu@53.718C soc2@51.375C soc0@51.75C gpu@52.531C tj@53.718C soc1@52.562C VDD_IN 6626mW/6435mW VDD_CPU_GPU_CV 2020mW/1773mW VDD_SOC 1587mW/1612mW
09-12-2026 20:03:53 RAM 7337/7620MB (lfb 3x256kB) SWAP 2987/12002MB (cached 4MB) CPU [1%@1728,0%@1728,47%@1728,2%@1728,0%@1728,84%@1728] GR3D_FREQ 97% cpu@53.468C soc2@51.593C soc0@51.843C gpu@52.906C tj@53.468C soc1@52.562C VDD_IN 9650mW/6527mW VDD_CPU_GPU_CV 3193mW/1814mW VDD_SOC 2211mW/1629mW
