09-12-2026 20:36:57 RAM 6207/7620MB (lfb 1x2MB) SWAP 1064/12002MB (cached 10MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,100%@1728,0%@1728] GR3D_FREQ 57% cpu@52.187C soc2@49.875C soc0@50.281C gpu@51.156C tj@52.187C soc1@50.656C VDD_IN 8240mW/6765mW VDD_CPU_GPU_CV 3124mW/1934mW VDD_SOC 1782mW/1684mW
09-12-2026 20:36:57 RAM 6268/7620MB (lfb 1x2MB) SWAP 1064/12002MB (cached 10MB) CPU [1%@1728,8%@1728,0%@1728,0%@1728,66%@729,13%@729] GR3D_FREQ 99% cpu@51.937C soc2@50.031C soc0@50.218C gpu@52.218C tj@52.218C soc1@50.812C VDD_IN 10898mW/6883mW VDD_CPU_GPU_CV 4644mW/2011mW VDD_SOC 2247mW/1701mW
09-12-2026 20:36:58 RAM 6415/7620MB (lfb 1x2MB) SWAP 1064/12002MB (cached 10MB) CPU [0%@1728,66%@1728,1%@1728,0%@1728,19%@729,0%@729] GR3D_FREQ 18% cpu@52.75C soc2@50.625C soc0@50.562C gpu@52.406C tj@52.75C soc1@50.937C VDD_IN 15549mW/7124mW VDD_CPU_GPU_CV 6949mW/2148mW VDD_SOC 3642mW/1754mW
09-12-2026 20:36:58 RAM 6451/7620MB (lfb 2x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,100%@1728,0%@1728,0%@1728,23%@729,0%@729] GR3D_FREQ 43% cpu@52.406C soc2@50.468C soc0@50.687C gpu@52.187C tj@52.406C soc1@51.031C VDD_IN 11590mW/7245mW VDD_CPU_GPU_CV 4597mW/2214mW VDD_SOC 3030mW/1789mW
09-12-2026 20:36:59 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [3%@1728,98%@1728,0%@1728,1%@1728,0%@729,34%@729] GR3D_FREQ 53% cpu@52.437C soc2@50.375C soc0@50.625C gpu@51.843C tj@52.437C soc1@50.968C VDD_IN 9650mW/7308mW VDD_CPU_GPU_CV 3824mW/2257mW VDD_SOC 2211mW/1800mW
09-12-2026 20:36:59 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,85%@1728,1%@1728,3%@1728,0%@729,0%@729] GR3D_FREQ 99% cpu@52.531C soc2@50.781C soc0@50.687C gpu@53.468C tj@53.468C soc1@51.281C VDD_IN 12595mW/7444mW VDD_CPU_GPU_CV 5610mW/2343mW VDD_SOC 2672mW/1822mW
09-12-2026 20:37:00 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,62%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 33% cpu@52.812C soc2@51.062C soc0@50.968C gpu@52.875C tj@52.906C soc1@51.312C VDD_IN 15588mW/7647mW VDD_CPU_GPU_CV 6859mW/2456mW VDD_SOC 3832mW/1873mW
09-12-2026 20:37:00 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,100%@1728,1%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 40% cpu@52.656C soc2@50.937C soc0@51.125C gpu@52.281C tj@52.656C soc1@51.468C VDD_IN 11708mW/7746mW VDD_CPU_GPU_CV 4597mW/2508mW VDD_SOC 3188mW/1905mW
09-12-2026 20:37:01 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [0%@1728,98%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 53% cpu@52.718C soc2@50.75C soc0@50.968C gpu@51.937C tj@52.718C soc1@51.375C VDD_IN 9872mW/7797mW VDD_CPU_GPU_CV 3745mW/2537mW VDD_SOC 2527mW/1920mW
09-12-2026 20:37:01 RAM 6459/7620MB (lfb 4x1MB) SWAP 1068/12002MB (cached 10MB) CPU [1%@1728,90%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 27% cpu@52.843C soc2@51.031C soc0@51C gpu@53C tj@52.843C soc1@51.656C VDD_IN 13399mW/7927mW VDD_CPU_GPU_CV 5875mW/2615mW VDD_SOC 3261mW/1951mW
