09-12-2026 20:05:35 RAM 7430/7620MB (lfb 9x1MB) SWAP 2078/12002MB (cached 5MB) CPU [0%@1728,1%@1728,0%@1728,100%@1728,0%@1728,100%@1728] GR3D_FREQ 0% cpu@57.906C soc2@55.968C soc0@56.093C gpu@56.625C tj@57.906C soc1@56.843C VDD_IN 8081mW/6258mW VDD_CPU_GPU_CV 2961mW/1590mW VDD_SOC 1740mW/1596mW
09-12-2026 20:05:35 RAM 7456/7620MB (lfb 28x128kB) SWAP 2330/12002MB (cached 5MB) CPU [0%@1728,0%@1728,0%@1728,96%@1728,0%@1728,96%@1728] GR3D_FREQ 0% cpu@57.937C soc2@56.031C soc0@56.125C gpu@56.656C tj@57.937C soc1@56.906C VDD_IN 7725mW/6312mW VDD_CPU_GPU_CV 2764mW/1633mW VDD_SOC 1703mW/1600mW
09-12-2026 20:05:36 RAM 7474/7620MB (lfb 21x128kB) SWAP 2539/12002MB (cached 4MB) CPU [21%@1728,25%@1728,0%@1728,75%@1728,57%@1728,15%@1728] GR3D_FREQ 0% cpu@57.937C soc2@56C soc0@56C gpu@56.625C tj@57.937C soc1@56.968C VDD_IN 6944mW/6335mW VDD_CPU_GPU_CV 2214mW/1654mW VDD_SOC 1584mW/1599mW
09-12-2026 20:05:36 RAM 7454/7620MB (lfb 22x128kB) SWAP 2806/12002MB (cached 4MB) CPU [21%@1728,32%@1728,0%@1728,96%@1728,100%@1728,18%@1728] GR3D_FREQ 0% cpu@57.875C soc2@56.062C soc0@56.062C gpu@56.75C tj@57.875C soc1@56.937C VDD_IN 7368mW/6371mW VDD_CPU_GPU_CV 2452mW/1682mW VDD_SOC 1663mW/1601mW
09-12-2026 20:05:37 RAM 7408/7620MB (lfb 11x128kB) SWAP 2886/12002MB (cached 3MB) CPU [36%@1728,0%@1728,1%@1728,44%@1728,64%@729,0%@729] GR3D_FREQ 86% cpu@57.968C soc2@56.281C soc0@56.093C gpu@57.593C tj@57.968C soc1@57C VDD_IN 9595mW/6478mW VDD_CPU_GPU_CV 3272mW/1735mW VDD_SOC 2132mW/1619mW
09-12-2026 20:05:37 RAM 7420/7620MB (lfb 2x1MB) SWAP 2864/12002MB (cached 3MB) CPU [76%@806,20%@806,1%@806,0%@806,20%@1728,0%@1728] GR3D_FREQ 0% cpu@57.968C soc2@56.406C soc0@56.281C gpu@57.312C tj@57.968C soc1@57.062C VDD_IN 10920mW/6621mW VDD_CPU_GPU_CV 3733mW/1799mW VDD_SOC 2597mW/1650mW
09-12-2026 20:05:38 RAM 7422/7620MB (lfb 2x1MB) SWAP 2850/12002MB (cached 3MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,12%@1728,60%@1728] GR3D_FREQ 64% cpu@58.218C soc2@56.781C soc0@56.281C gpu@58.312C tj@58.312C soc1@57.125C VDD_IN 13809mW/6846mW VDD_CPU_GPU_CV 5357mW/1910mW VDD_SOC 3491mW/1708mW
09-12-2026 20:05:38 RAM 7425/7620MB (lfb 2x1MB) SWAP 2849/12002MB (cached 4MB) CPU [4%@1728,0%@1728,4%@1728,1%@1728,0%@1728,98%@1728] GR3D_FREQ 65% cpu@58.656C soc2@56.843C soc0@56.687C gpu@58.25C tj@58.656C soc1@57.218C VDD_IN 14280mW/7071mW VDD_CPU_GPU_CV 4888mW/2001mW VDD_SOC 3995mW/1777mW
09-12-2026 20:05:39 RAM 7429/7620MB (lfb 2x1MB) SWAP 2845/12002MB (cached 4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1728,75%@1728] GR3D_FREQ 60% cpu@58.968C soc2@57.062C soc0@56.687C gpu@58.781C tj@58.968C soc1@57.25C VDD_IN 15706mW/7325mW VDD_CPU_GPU_CV 6158mW/2123mW VDD_SOC 4184mW/1848mW
09-12-2026 20:05:40 RAM 7429/7620MB (lfb 2x1MB) SWAP 2845/12002MB (cached 4MB) CPU [0%@729,0%@729,3%@729,0%@729,0%@1728,96%@1728] GR3D_FREQ 99% cpu@58.781C soc2@57.156C soc0@56.718C gpu@59.375C tj@59.375C soc1@57.312C VDD_IN 14962mW/7543mW VDD_CPU_GPU_CV 5699mW/2225mW VDD_SOC 4145mW/1914mW
