09-13-2026 00:27:10 RAM 3792/7620MB (lfb 1x2MB) SWAP 907/12002MB (cached 10MB) CPU [4%@1728,86%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.562C soc2@48.906C soc0@49.281C gpu@49.781C tj@50.562C soc1@49.968C VDD_IN 5603mW/5885mW VDD_CPU_GPU_CV 1349mW/1546mW VDD_SOC 1470mW/1497mW
09-13-2026 00:27:10 RAM 3799/7620MB (lfb 1x2MB) SWAP 907/12002MB (cached 10MB) CPU [0%@1728,95%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.812C soc2@48.906C soc0@49.312C gpu@49.656C tj@50.75C soc1@49.906C VDD_IN 5643mW/5876mW VDD_CPU_GPU_CV 1428mW/1541mW VDD_SOC 1470mW/1496mW
09-13-2026 00:27:11 RAM 3863/7620MB (lfb 77x1MB) SWAP 907/12002MB (cached 10MB) CPU [15%@1728,94%@1728,15%@1728,15%@1728,2%@729,0%@729] GR3D_FREQ 0% cpu@51.187C soc2@48.906C soc0@49.437C gpu@49.75C tj@51.187C soc1@49.906C VDD_IN 5921mW/5877mW VDD_CPU_GPU_CV 1626mW/1544mW VDD_SOC 1470mW/1495mW
09-13-2026 00:27:11 RAM 3873/7620MB (lfb 77x1MB) SWAP 907/12002MB (cached 10MB) CPU [11%@1574,88%@1728,6%@1728,11%@1728,10%@729,9%@729] GR3D_FREQ 28% cpu@50.843C soc2@48.875C soc0@49.406C gpu@49.718C tj@50.843C soc1@50C VDD_IN 6041mW/5883mW VDD_CPU_GPU_CV 1626mW/1547mW VDD_SOC 1550mW/1497mW
09-13-2026 00:27:12 RAM 4066/7620MB (lfb 77x1MB) SWAP 907/12002MB (cached 10MB) CPU [12%@1728,46%@1728,45%@1728,33%@1728,11%@729,26%@729] GR3D_FREQ 8% cpu@50.75C soc2@48.718C soc0@49.406C gpu@49.812C tj@50.75C soc1@49.906C VDD_IN 5921mW/5884mW VDD_CPU_GPU_CV 1309mW/1539mW VDD_SOC 1629mW/1501mW
09-13-2026 00:27:12 RAM 4089/7620MB (lfb 77x1MB) SWAP 907/12002MB (cached 10MB) CPU [3%@1728,7%@1728,90%@1728,0%@1728,11%@729,8%@729] GR3D_FREQ 0% cpu@50.812C soc2@48.812C soc0@49.312C gpu@49.718C tj@50.812C soc1@50.125C VDD_IN 5842mW/5883mW VDD_CPU_GPU_CV 1190mW/1528mW VDD_SOC 1589mW/1504mW
09-13-2026 00:27:13 RAM 4226/7620MB (lfb 64x1MB) SWAP 907/12002MB (cached 10MB) CPU [6%@729,26%@729,54%@729,12%@729,18%@729,41%@729] GR3D_FREQ 36% cpu@50.5C soc2@48.906C soc0@49.375C gpu@49.75C tj@50.5C soc1@50.062C VDD_IN 5882mW/5883mW VDD_CPU_GPU_CV 1230mW/1519mW VDD_SOC 1629mW/1508mW
09-13-2026 00:27:13 RAM 4421/7620MB (lfb 64x1MB) SWAP 907/12002MB (cached 10MB) CPU [11%@1728,26%@1728,29%@1728,36%@1728,36%@1113,52%@1113] GR3D_FREQ 0% cpu@50.375C soc2@48.843C soc0@49.312C gpu@49.75C tj@50.375C soc1@50.031C VDD_IN 5762mW/5879mW VDD_CPU_GPU_CV 1111mW/1506mW VDD_SOC 1629mW/1512mW
09-13-2026 00:27:14 RAM 4465/7620MB (lfb 42x1MB) SWAP 907/12002MB (cached 10MB) CPU [1%@729,2%@1728,0%@1728,4%@1728,96%@1728,1%@1728] GR3D_FREQ 0% cpu@50.875C soc2@48.781C soc0@49.5C gpu@49.75C tj@50.875C soc1@50C VDD_IN 5762mW/5876mW VDD_CPU_GPU_CV 1150mW/1496mW VDD_SOC 1589mW/1514mW
09-13-2026 00:27:14 RAM 4479/7620MB (lfb 23x1MB) SWAP 907/12002MB (cached 10MB) CPU [44%@1728,36%@1728,22%@1728,60%@1728,19%@729,44%@729] GR3D_FREQ 75% cpu@50.937C soc2@48.875C soc0@49.5C gpu@49.75C tj@50.937C soc1@50C VDD_IN 6001mW/5879mW VDD_CPU_GPU_CV 1269mW/1489mW VDD_SOC 1629mW/1517mW
