slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
biovec-128            32     32   2048   16    8 : tunables    0    0    0 : slabdata      2      2      0
biovec-64            180    180   1024   16    4 : tunables    0    0    0 : slabdata     12     12      0
khugepaged_mm_slot    216    216    112   36    1 : tunables    0    0    0 : slabdata      6      6      0
user_namespace        52     52    616   26    4 : tunables    0    0    0 : slabdata      2      2      0
dmaengine-unmap-256     15     15   2112   15    8 : tunables    0    0    0 : slabdata      1      1      0
dmaengine-unmap-16    189    189    192   21    1 : tunables    0    0    0 : slabdata      9      9      0
sock_inode_cache    1223   1292    832   19    4 : tunables    0    0    0 : slabdata     68     68      0
skbuff_fclone_cache    480    480    512   16    2 : tunables    0    0    0 : slabdata     30     30      0
skbuff_head_cache   1792   1792    256   16    1 : tunables    0    0    0 : slabdata    112    112      0
file_lock_cache      144    144    216   18    1 : tunables    0    0    0 : slabdata      8      8      0
buffer_head         3978   3978    104   39    1 : tunables    0    0    0 : slabdata    102    102      0
proc_dir_entry      2751   2751    192   21    1 : tunables    0    0    0 : slabdata    131    131      0
pde_opener           612    612     40  102    1 : tunables    0    0    0 : slabdata      6      6      0
proc_inode_cache    2881   2921    696   23    4 : tunables    0    0    0 : slabdata    127    127      0
seq_file             204    204    120   34    1 : tunables    0    0    0 : slabdata      6      6      0
sigqueue            2244   2244     80   51    1 : tunables    0    0    0 : slabdata     44     44      0
bdev_cache           120    120   1600   20    8 : tunables    0    0    0 : slabdata      6      6      0
shmem_inode_cache   3774   3916    744   22    4 : tunables    0    0    0 : slabdata    178    178      0
kernfs_iattrs_cache   2852   2852     88   46    1 : tunables    0    0    0 : slabdata     62     62      0
kernfs_node_cache  65939  66208    128   32    1 : tunables    0    0    0 : slabdata   2069   2069      0
mnt_cache           2407   2550    320   25    2 : tunables    0    0    0 : slabdata    102    102      0
filp                5243   6176    256   16    1 : tunables    0    0    0 : slabdata    386    386      0
inode_cache        35304  36920    624   26    4 : tunables    0    0    0 : slabdata   1420   1420      0
dentry             48098  77427    192   21    1 : tunables    0    0    0 : slabdata   3687   3687      0
names_cache          128    152   4096    8    8 : tunables    0    0    0 : slabdata     19     19      0
net_namespace         72     72   2688   12    8 : tunables    0    0    0 : slabdata      6      6      0
avtab_extended_perms    306    306     40  102    1 : tunables    0    0    0 : slabdata      3      3      0
avc_xperms_data     9984   9984     32  128    1 : tunables    0    0    0 : slabdata     78     78      0
avc_node             336    336     72   56    1 : tunables    0    0    0 : slabdata      6      6      0
iint_cache             0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
lsm_inode_cache    46756  93075     56   73    1 : tunables    0    0    0 : slabdata   1275   1275      0
lsm_file_cache     14156  16640     16  256    1 : tunables    0    0    0 : slabdata     65     65      0
uts_namespace         90     90    432   18    2 : tunables    0    0    0 : slabdata      5      5      0
nsproxy              336    336     72   56    1 : tunables    0    0    0 : slabdata      6      6      0
vm_area_struct     18862  19700    200   20    1 : tunables    0    0    0 : slabdata    985    985      0
files_cache          368    368    704   23    4 : tunables    0    0    0 : slabdata     16     16      0
signal_cache         410    528   1024   16    4 : tunables    0    0    0 : slabdata     33     33      0
sighand_cache        380    420   2112   15    8 : tunables    0    0    0 : slabdata     28     28      0
task_struct          544    616   3968    8    8 : tunables    0    0    0 : slabdata     77     77      0
cred_jar            1554   1554    192   21    1 : tunables    0    0    0 : slabdata     74     74      0
anon_vma_chain     12553  15424     64   64    1 : tunables    0    0    0 : slabdata    241    241      0
anon_vma            8011   9321    104   39    1 : tunables    0    0    0 : slabdata    239    239      0
pid                 2912   2912    128   32    1 : tunables    0    0    0 : slabdata     91     91      0
numa_policy         1020   1020     24  170    1 : tunables    0    0    0 : slabdata      6      6      0
perf_event            30     30   1088   30    8 : tunables    0    0    0 : slabdata      1      1      0
trace_event_file    1890   1890     96   42    1 : tunables    0    0    0 : slabdata     45     45      0
ftrace_event_field  60595 233240     48   85    1 : tunables    0    0    0 : slabdata   2744   2744      0
pool_workqueue       551    608    256   16    1 : tunables    0    0    0 : slabdata     38     38      0
radix_tree_node    39493  48188    584   28    4 : tunables    0    0    0 : slabdata   1721   1721      0
task_group           196    196    576   28    4 : tunables    0    0    0 : slabdata      7      7      0
mm_struct            306    306    960   17    4 : tunables    0    0    0 : slabdata     18     18      0
vmap_area          17834  31616     64   64    1 : tunables    0    0    0 : slabdata    494    494      0
dma-kmalloc-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-1k         0      0   1024   16    4 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-512        0      0    512   16    2 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-256        0      0    256   16    1 : tunables    0    0    0 : slabdata      0      0      0
dma-kmalloc-128        0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
