09-14-2026 15:55:15 RAM 5682/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [45%@1728,4%@1728,0%@1728,1%@1728,1%@729,33%@729] GR3D_FREQ 0% cpu@53.593C soc2@51.593C soc0@51.968C gpu@52.468C tj@53.593C soc1@52.625C VDD_IN 5921mW/5834mW VDD_CPU_GPU_CV 1388mW/1453mW VDD_SOC 1589mW/1528mW
09-14-2026 15:55:16 RAM 5682/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [48%@1728,0%@1728,1%@1728,50%@1728,2%@729,3%@729] GR3D_FREQ 0% cpu@53.218C soc2@51.437C soc0@51.906C gpu@52.375C tj@53.218C soc1@52.718C VDD_IN 5723mW/5831mW VDD_CPU_GPU_CV 1309mW/1448mW VDD_SOC 1550mW/1529mW
09-14-2026 15:55:16 RAM 5682/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [8%@729,6%@729,4%@729,32%@729,0%@1728,52%@1728] GR3D_FREQ 0% cpu@53.281C soc2@51.343C soc0@51.906C gpu@52.406C tj@53.281C soc1@52.718C VDD_IN 5643mW/5824mW VDD_CPU_GPU_CV 1349mW/1445mW VDD_SOC 1510mW/1528mW
09-14-2026 15:55:17 RAM 5707/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [0%@1728,0%@1728,50%@1728,0%@1728,1%@729,50%@729] GR3D_FREQ 0% cpu@53.812C soc2@51.437C soc0@51.843C gpu@52.281C tj@53.812C soc1@52.656C VDD_IN 5723mW/5821mW VDD_CPU_GPU_CV 1468mW/1446mW VDD_SOC 1470mW/1526mW
09-14-2026 15:55:17 RAM 5683/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [3%@1728,6%@1728,20%@1728,23%@1728,1%@729,32%@729] GR3D_FREQ 0% cpu@53.718C soc2@51.437C soc0@52C gpu@52.281C tj@53.718C soc1@52.625C VDD_IN 5961mW/5825mW VDD_CPU_GPU_CV 1428mW/1445mW VDD_SOC 1587mW/1528mW
09-14-2026 15:55:18 RAM 5683/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [0%@1728,1%@1728,49%@1728,49%@1728,0%@729,3%@729] GR3D_FREQ 0% cpu@53.562C soc2@51.375C soc0@51.937C gpu@52.343C tj@53.562C soc1@52.562C VDD_IN 5802mW/5825mW VDD_CPU_GPU_CV 1388mW/1444mW VDD_SOC 1510mW/1528mW
09-14-2026 15:55:18 RAM 5683/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [2%@1728,2%@1728,28%@1728,14%@1728,0%@1728,53%@1728] GR3D_FREQ 0% cpu@53.281C soc2@51.343C soc0@51.937C gpu@52.218C tj@53.375C soc1@52.812C VDD_IN 5643mW/5819mW VDD_CPU_GPU_CV 1388mW/1442mW VDD_SOC 1470mW/1526mW
09-14-2026 15:55:19 RAM 5674/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [5%@1728,0%@1728,0%@1728,0%@1728,36%@1728,40%@1728] GR3D_FREQ 0% cpu@53.281C soc2@51.437C soc0@51.843C gpu@52.281C tj@53.281C soc1@52.718C VDD_IN 6080mW/5827mW VDD_CPU_GPU_CV 1428mW/1442mW VDD_SOC 1626mW/1529mW
09-14-2026 15:55:19 RAM 5674/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [73%@1728,25%@1728,0%@1728,1%@1728,0%@729,4%@729] GR3D_FREQ 0% cpu@53.5C soc2@51.562C soc0@51.875C gpu@52.281C tj@53.5C soc1@52.656C VDD_IN 5802mW/5826mW VDD_CPU_GPU_CV 1388mW/1440mW VDD_SOC 1550mW/1529mW
09-14-2026 15:55:20 RAM 5674/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [8%@960,68%@960,3%@960,4%@960,20%@729,1%@729] GR3D_FREQ 0% cpu@53.062C soc2@51.406C soc0@52.031C gpu@52.187C tj@53C soc1@52.562C VDD_IN 5683mW/5822mW VDD_CPU_GPU_CV 1349mW/1438mW VDD_SOC 1510mW/1529mW
09-14-2026 15:55:20 RAM 5674/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [0%@1728,0%@1728,1%@1728,1%@1728,0%@1728,100%@1728] GR3D_FREQ 0% cpu@53.468C soc2@51.375C soc0@51.906C gpu@52.406C tj@53.468C soc1@52.562C VDD_IN 5643mW/5818mW VDD_CPU_GPU_CV 1428mW/1437mW VDD_SOC 1470mW/1527mW
09-14-2026 15:55:21 RAM 5673/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [1%@1728,0%@1728,66%@1728,0%@1728,0%@729,16%@729] GR3D_FREQ 95% cpu@53.312C soc2@51.5C soc0@51.968C gpu@52.406C tj@53.312C soc1@52.562C VDD_IN 6160mW/5826mW VDD_CPU_GPU_CV 1507mW/1439mW VDD_SOC 1626mW/1530mW
